sheet_id,image_idx,kind,anchor,anchor_evidence,frame_measured,positional_grade,road_fit_resid_m,road_fit_shift_m,old_crop_shift_px,land_km2,sea_fraction,sheet_km2,notes
31-XXIV-q,0,single,cell,n/a (full cell),both,B,21,252,11.3,22.11,0.745,86.75,road fit scattered; modern road density likely confused it
31-XXV-dh,1,composite,top,shoreline,both,A,82,100,33.1,32.69,0.637,89.95,"road fit agrees with the global calibration; composite sheet, extends 389 m beyond its cell; anchor confirmed by shoreline (389 m margin over the other edge)"
32-XXIII-m,2,single,cell,n/a (full cell),both,B,,,0.0,17.35,0.799,86.47,not enough road ink to check independently
32-XXIII-p,3,single,cell,n/a (full cell),both,B,,,16.9,86.41,0.0,86.41,not enough road ink to check independently
32-XXIII-q,4,single,cell,n/a (full cell),both,B,,,4.0,86.33,0.0,86.33,not enough road ink to check independently
32-XXIV-c,5,single,cell,n/a (full cell),both,A,21,45,8.0,49.35,0.428,86.24,road fit agrees with the global calibration
32-XXIV-d,6,single,cell,n/a (full cell),both,A,128,98,24.0,85.08,0.015,86.35,road fit agrees with the global calibration
32-XXIV-g,7,single,cell,n/a (full cell),both,B,,,0.0,86.49,0.0,86.49,not enough road ink to check independently
32-XXIV-h,8,single,cell,n/a (full cell),both,B,243,246,7.6,71.33,0.175,86.5,road fit scattered; modern road density likely confused it
32-XXIV-k,9,single,cell,n/a (full cell),both,A,43,0,8.9,86.65,0.0,86.65,road fit agrees with the global calibration
32-XXIV-l,10,single,cell,n/a (full cell),both,A,170,143,13.8,84.39,0.023,86.35,road fit agrees with the global calibration
32-XXIV-m,11,single,cell,n/a (full cell),both,A,21,0,7.2,86.35,0.0,86.35,road fit agrees with the global calibration
32-XXIV-ni,12,composite,bottom,shoreline,both,B,,,14.2,87.06,0.114,98.28,"not enough road ink to check independently; composite sheet, extends 1284 m beyond its cell; anchor confirmed by shoreline (1284 m margin over the other edge)"
32-XXIV-o,13,single,cell,n/a (full cell),height,C,408,931,20.6,86.46,0.0,86.46,road fit scattered; modern road density likely confused it; frame only partly measurable (height)
32-XXIV-p,14,single,cell,n/a (full cell),both,A,30,31,6.1,86.45,0.0,86.45,road fit agrees with the global calibration
32-XXIV-q,15,single,cell,n/a (full cell),both,B,,,3.7,86.6,0.0,86.6,not enough road ink to check independently
32-XXV-a,16,single,cell,n/a (full cell),both,A,128,0,7.4,86.43,0.0,86.43,road fit agrees with the global calibration
32-XXV-b,17,single,cell,n/a (full cell),both,B,447,379,6.2,83.66,0.036,86.75,road fit scattered; modern road density likely confused it
32-XXV-c,18,single,cell,n/a (full cell),both,B,489,427,0.0,86.38,0.0,86.38,road fit scattered; modern road density likely confused it
32-XXV-d,19,single,cell,n/a (full cell),both,B,437,1448,17.9,43.92,0.492,86.4,road fit scattered; modern road density likely confused it
32-XXV-f,20,single,cell,n/a (full cell),both,B,,,37.6,34.5,0.601,86.38,not enough road ink to check independently
32-XXV-g,21,single,cell,n/a (full cell),both,B,,,4.5,54.01,0.376,86.5,not enough road ink to check independently
32-XXV-h,22,single,cell,n/a (full cell),both,A,149,126,9.8,50.15,0.419,86.24,road fit agrees with the global calibration
33-XXIII-i,23,single,cell,n/a (full cell),both,A,52,126,13.1,30.96,0.641,86.33,road fit agrees with the global calibration
33-XXIII-k,24,single,cell,n/a (full cell),both,A,61,45,11.3,86.43,0.0,86.43,road fit agrees with the global calibration
33-XXIII-l,25,single,cell,n/a (full cell),width,B,82,140,14.2,21.78,0.748,86.41,road fit agrees with the global calibration; frame only partly measurable (width)
33-XXIII-m,26,single,cell,n/a (full cell),height,C,488,431,15.3,57.37,0.335,86.28,road fit scattered; modern road density likely confused it; frame only partly measurable (height)
33-XXIII-n,27,single,cell,n/a (full cell),both,B,231,170,22.5,86.42,0.0,86.42,road fit scattered; modern road density likely confused it
33-XXIII-o,28,single,cell,n/a (full cell),both,B,177,189,33.4,86.32,0.0,86.32,road fit scattered; modern road density likely confused it
33-XXIII-p,29,single,cell,n/a (full cell),both,A,21,89,34.6,86.31,0.0,86.31,road fit agrees with the global calibration
33-XXIII-q,30,single,cell,n/a (full cell),both,A,64,22,15.5,86.49,0.0,86.49,road fit agrees with the global calibration
33-XXIV-a,31,single,cell,n/a (full cell),both,A,134,45,28.1,86.53,0.0,86.53,road fit agrees with the global calibration
33-XXIV-b,32,single,cell,n/a (full cell),both,A,128,89,10.6,86.43,0.0,86.43,road fit agrees with the global calibration
33-XXIV-c,33,single,cell,n/a (full cell),both,B,319,1834,21.4,86.39,0.0,86.39,road fit scattered; modern road density likely confused it
33-XXIV-d,34,single,cell,n/a (full cell),both,B,210,205,27.0,61.96,0.283,86.42,road fit scattered; modern road density likely confused it
33-XXIV-e,35,single,cell,n/a (full cell),both,B,404,460,57.9,84.82,0.019,86.42,road fit scattered; modern road density likely confused it
