sheet_id,kind,crop_w,crop_h,frame_left,frame_right,frame_top,frame_bottom,frame_w,frame_h,aspect
31-XXIV-q,single,4338,4342,1.8,4332.0,3.5,4316.1,4330.2,4312.6,0.9959
31-XXV-dh,composite,4356,4504,1.9,4342.0,2.7,4500.3,4340.0,4497.7,1.0363
32-XXIII-m,single,4352,4340,2.8,4348.3,11.9,4336.2,4345.5,4324.3,0.9951
32-XXIII-p,single,4358,4340,3.5,4354.2,5.9,4333.7,4350.7,4327.8,0.9947
32-XXIII-q,single,4354,4324,1.7,4344.2,0.5,4320.6,4342.6,4320.0,0.9948
32-XXIV-c,single,4360,4328,1.9,4355.2,0.8,4324.4,4353.3,4323.6,0.9932
32-XXIV-d,single,4348,4324,1.4,4339.1,3.6,4321.3,4337.7,4317.7,0.9954
32-XXIV-g,single,4356,4332,2.8,4343.7,4.2,4327.4,4340.9,4323.1,0.9959
32-XXIV-h,single,4352,4338,5.4,4347.3,11.5,4335.2,4341.8,4323.7,0.9958
32-XXIV-k,single,4360,4342,8.2,4354.1,12.5,4336.5,4345.9,4324.0,0.995
32-XXIV-l,single,4356,4330,5.2,4352.6,4.6,4326.1,4347.4,4321.5,0.994
32-XXIV-m,single,4352,4336,1.4,4347.5,8.1,4332.8,4346.1,4324.7,0.9951
32-XXIV-ni,composite,4356,4922,1.5,4342.1,1.4,4914.5,4340.6,4913.1,1.1319
32-XXIV-o,single,4344,4336,8.0,,8.5,4329.6,,4321.1,
32-XXIV-p,single,4348,4338,3.7,4344.0,5.7,4329.2,4340.3,4323.5,0.9961
32-XXIV-q,single,4348,4338,12.1,4344.5,8.0,4331.9,4332.3,4323.9,0.9981
32-XXV-a,single,4356,4328,4.1,4344.4,2.0,4324.0,4340.3,4321.9,0.9958
32-XXV-b,single,4364,4328,10.0,4349.9,9.4,4324.0,4339.9,4314.5,0.9942
32-XXV-c,single,4356,4334,5.4,4350.0,3.9,4330.2,4344.6,4326.3,0.9958
32-XXV-d,single,4364,4342,2.4,4361.5,9.4,4336.1,4359.1,4326.7,0.9926
32-XXV-f,single,4354,4332,5.7,4346.4,2.8,4328.7,4340.7,4325.9,0.9966
32-XXV-g,single,4354,4334,5.9,4348.0,5.5,4326.3,4342.1,4320.8,0.9951
32-XXV-h,single,4356,4326,3.6,4351.6,2.3,4324.0,4348.0,4321.7,0.994
33-XXIII-i,single,4352,4326,1.2,4343.8,1.5,4321.5,4342.6,4320.0,0.9948
33-XXIII-k,single,4356,4324,9.8,4350.2,2.2,4321.3,4340.4,4319.0,0.9951
33-XXIII-l,single,4342,4326,1.5,4334.1,9.9,,4332.6,,
33-XXIII-m,single,4344,4322,,4337.1,3.9,4319.9,,4316.0,
33-XXIII-n,single,4352,4324,2.4,4346.5,7.8,4319.7,4344.1,4311.8,0.9926
33-XXIII-o,single,4350,4326,2.7,4343.6,1.5,4321.7,4340.9,4320.1,0.9952
33-XXIII-p,single,4354,4326,2.5,4346.0,0.9,4323.0,4343.5,4322.1,0.9951
33-XXIII-q,single,4352,4342,4.0,4348.0,6.3,4332.6,4343.9,4326.3,0.9959
33-XXIV-a,single,4356,4340,5.5,4350.5,5.3,4330.8,4345.0,4325.5,0.9955
33-XXIV-b,single,4358,4336,3.9,4349.9,3.9,4331.2,4346.1,4327.4,0.9957
33-XXIV-c,single,4348,4340,0.8,4343.9,10.6,4337.0,4343.1,4326.3,0.9961
33-XXIV-d,single,4358,4336,3.0,4351.2,5.8,4331.5,4348.2,4325.8,0.9948
33-XXIV-e,single,4356,4332,9.7,4352.4,3.9,4328.6,4342.7,4324.7,0.9958
33-XXIV-f,single,4350,4338,0.9,4345.1,12.2,4334.4,4344.2,4322.2,0.9949
33-XXIV-g,single,4342,4334,2.5,4337.3,8.4,4328.8,4334.8,4320.4,0.9967
33-XXIV-h,single,4346,4332,1.7,4342.8,3.8,4328.6,4341.0,4324.8,0.9963
33-XXIV-i,single,4364,4338,5.2,4352.2,6.6,4330.0,4347.0,4323.4,0.9946
33-XXIV-k,single,4346,4336,,4338.8,6.2,4329.9,,4323.6,
33-XXIV-l,single,4348,4334,11.6,4344.3,4.0,4325.7,4332.7,4321.7,0.9975
33-XXIV-m,single,4358,4334,,4341.7,5.8,4330.6,,4324.7,
33-XXIV-n,single,4338,4328,1.5,4329.6,1.3,4324.1,4328.1,4322.8,0.9988
33-XXIV-o,single,4358,4336,,4348.1,12.1,4332.7,,4320.6,
33-XXIV-p,single,4354,4338,1.5,4346.1,12.1,4333.2,4344.6,4321.2,0.9946
33-XXIV-q,single,4342,4332,,4335.7,2.2,4324.0,,4321.7,
33-XXV-ae,composite,4348,5268,1.4,4337.1,13.0,5261.7,4335.7,5248.7,1.2106
33-XXV-b,single,4356,4328,11.6,4350.1,1.2,4323.5,4338.5,4322.3,0.9963
33-XXV-c,single,4350,4330,5.4,4346.1,8.1,4326.5,4340.7,4318.4,0.9949
33-XXV-d,single,4348,4324,1.8,4335.9,5.6,,4334.1,,
33-XXV-f,single,4340,4344,2.0,4332.4,12.1,4338.0,4330.4,4325.9,0.999
33-XXV-g,single,4342,4332,4.1,4337.6,2.8,4326.2,4333.4,4323.4,0.9977
33-XXV-h,single,4336,4332,2.1,4332.1,3.4,4328.4,4330.0,4325.0,0.9988
33-XXV-m,single,4338,4334,8.0,4333.1,11.5,4330.1,4325.1,4318.6,0.9985
33-XXV-q,single,4344,4324,4.0,4333.9,0.7,4316.5,4329.9,4315.8,0.9967
33-XXVI-d,single,4352,4662,5.9,4343.5,8.7,4658.5,4337.6,4649.7,1.072
34-XXIII-ie,composite,4348,4812,1.6,4343.2,10.9,4803.7,4341.7,4792.7,1.1039
34-XXIII-k,single,4352,4338,8.1,,8.2,4333.4,,4325.2,
34-XXIII-l,single,4350,4334,2.4,4345.1,2.7,4329.8,4342.6,4327.1,0.9964
34-XXIII-n,single,4358,4340,5.6,4353.1,4.6,4331.7,4347.5,4327.0,0.9953
34-XXIII-o,single,4350,4334,3.3,4345.7,3.0,4328.6,4342.4,4325.6,0.9961
34-XXIII-p,single,4360,4326,4.1,4346.5,4.1,4318.1,4342.4,4314.1,0.9935
34-XXIV-a,single,4352,4338,2.7,4346.3,3.3,4324.0,4343.6,4320.7,0.9947
34-XXIV-b,single,4342,4338,0.9,4339.4,10.3,4334.9,4338.5,4324.6,0.9968
34-XXIV-cd,composite,6406,4322,5.6,6400.5,12.1,4314.7,6394.9,4302.6,0.6728
34-XXIV-e,single,4348,4340,1.6,4339.5,8.8,4330.0,4337.9,4321.2,0.9961
34-XXIV-f,single,4342,4332,3.2,,2.4,4323.4,,4321.1,
34-XXIV-g,single,4352,4330,2.8,4346.6,2.5,4325.4,4343.7,4322.9,0.9952
34-XXIV-h,single,4342,4328,1.9,4338.0,5.8,4324.7,4336.1,4318.9,0.996
34-XXIV-i,single,4350,4330,1.3,4346.5,2.3,4325.0,4345.3,4322.7,0.9948
34-XXIV-k,single,4352,4330,0.4,4348.3,2.2,4322.3,4347.9,4320.1,0.9936
34-XXIV-l,single,4328,4320,1.8,4315.2,3.7,4313.7,4313.4,4310.0,0.9992
34-XXIV-m,single,4342,4330,2.9,4338.0,1.3,4320.1,4335.1,4318.8,0.9962
34-XXIV-n,single,4360,4332,5.8,4347.7,5.1,4325.4,4341.8,4320.3,0.995
34-XXIV-o,single,4340,4340,1.5,4335.9,9.1,4329.6,4334.4,4320.5,0.9968
34-XXIV-p,single,4358,4336,10.2,4348.2,10.2,4329.8,4338.0,4319.6,0.9957
34-XXIV-q,single,4344,4330,8.4,4313.9,2.7,4325.2,4305.5,4322.5,1.0039
34-XXV-a,single,4356,4332,7.4,4349.2,2.1,4326.1,4341.8,4324.0,0.9959
