image_idx,sheet_id,old_crop,dx_px,dy_px,confidence
0,31-XXIV-q,crop_000.jpg,8.0,8.0,0.998
1,31-XXV-dh,crop_001.jpg,13.5,30.2,0.992
2,32-XXIII-m,crop_002.jpg,-0.0,-0.0,1.0
3,32-XXIII-p,crop_003.jpg,16.9,0.1,0.986
4,32-XXIII-q,crop_004.jpg,-0.0,-4.0,0.994
5,32-XXIV-c,crop_005.jpg,-0.0,-8.0,0.999
6,32-XXIV-d,crop_006.jpg,8.9,22.3,0.992
7,32-XXIV-g,crop_007.jpg,0.0,0.0,1.0
8,32-XXIV-h,crop_008.jpg,-5.5,-5.2,0.989
9,32-XXIV-k,crop_009.jpg,-4.0,-8.0,0.994
10,32-XXIV-l,crop_010.jpg,4.3,13.1,0.987
11,32-XXIV-m,crop_011.jpg,-4.3,-5.8,1.005
12,32-XXIV-ni,crop_012.jpg,-14.2,-0.2,0.987
13,32-XXIV-o,crop_013.jpg,17.6,10.7,0.982
14,32-XXIV-p,crop_014.jpg,4.3,4.3,0.992
15,32-XXIV-q,crop_015.jpg,0.0,3.7,0.997
16,32-XXV-a,crop_016.jpg,5.3,5.2,0.989
17,32-XXV-b,crop_017.jpg,-3.9,4.8,0.988
18,32-XXV-c,crop_018.jpg,0.0,0.0,1.0
19,32-XXV-d,crop_019.jpg,3.5,17.6,0.984
20,32-XXV-f,crop_020.jpg,16.6,-33.7,0.986
21,32-XXV-g,crop_021.jpg,-4.5,-0.1,0.981
22,32-XXV-h,crop_022.jpg,1.6,9.7,0.992
23,33-XXIII-i,crop_023.jpg,-0.0,-13.1,0.989
24,33-XXIII-k,crop_024.jpg,8.0,8.0,0.999
25,33-XXIII-l,crop_025.jpg,-13.7,3.6,1.015
26,33-XXIII-m,crop_026.jpg,13.1,7.9,0.981
27,33-XXIII-n,crop_027.jpg,-4.1,22.1,0.983
28,33-XXIII-o,crop_028.jpg,17.0,-28.7,0.983
29,33-XXIII-p,crop_029.jpg,16.8,-30.2,0.971
30,33-XXIII-q,crop_030.jpg,8.0,13.3,0.99
31,33-XXIV-a,crop_031.jpg,13.1,24.9,0.994
32,33-XXIV-b,crop_032.jpg,-0.7,10.6,1.005
33,33-XXIV-c,crop_033.jpg,13.3,-16.8,0.988
34,33-XXIV-d,crop_034.jpg,16.8,21.2,0.982
35,33-XXIV-e,crop_035.jpg,-52.4,24.7,0.989
36,33-XXIV-f,crop_036.jpg,0.1,13.0,0.99
37,33-XXIV-g,crop_037.jpg,5.2,21.9,0.992
38,33-XXIV-h,crop_038.jpg,-5.2,-4.4,1.0
39,33-XXIV-i,crop_039.jpg,-0.0,13.0,0.988
40,33-XXIV-k,crop_040.jpg,-0.0,16.8,0.996
41,33-XXIV-l,crop_041.jpg,4.3,-4.2,1.007
42,33-XXIV-m,crop_042.jpg,-5.1,-0.1,1.019
43,33-XXIV-n,crop_043.jpg,-0.0,0.0,1.0
44,33-XXIV-o,crop_044.jpg,3.6,16.7,0.993
45,33-XXIV-p,crop_045.jpg,-21.2,12.9,1.004
46,33-XXIV-q,crop_046.jpg,3.8,-5.9,1.005
47,33-XXV-ae,crop_047.jpg,-40.1,14.7,0.988
48,33-XXV-b,crop_048.jpg,3.6,-3.6,1.0
49,33-XXV-c,crop_049.jpg,-3.7,12.6,0.997
50,33-XXV-d,crop_050.jpg,8.0,-13.1,0.99
51,33-XXV-f,crop_051.jpg,-11.9,21.1,0.979
52,33-XXV-g,crop_052.jpg,-0.0,-0.0,1.0
53,33-XXV-h,crop_053.jpg,0.0,21.3,1.003
54,33-XXV-m,crop_054.jpg,16.9,16.9,0.988
55,33-XXV-q,crop_055.jpg,-0.0,8.7,0.986
56,33-XXVI-d,crop_056.jpg,16.6,19.2,1.001
57,34-XXIII-ie,crop_057.jpg,8.0,-4.8,0.995
58,34-XXIII-k,crop_058.jpg,4.9,21.4,0.974
59,34-XXIII-l,crop_059.jpg,-12.8,-12.6,0.966
60,34-XXIII-n,crop_060.jpg,-5.1,-0.0,1.004
61,34-XXIII-o,crop_061.jpg,-0.0,-0.0,1.0
62,34-XXIII-p,crop_062.jpg,-3.8,8.0,0.992
63,34-XXIV-a,crop_063.jpg,13.1,-1.1,1.011
64,34-XXIV-b,crop_064.jpg,3.7,0.0,1.011
65,34-XXIV-cd,crop_065.jpg,15.9,-24.9,0.994
66,34-XXIV-e,crop_066.jpg,0.0,22.0,0.995
67,34-XXIV-f,crop_067.jpg,-8.9,-3.9,0.993
68,34-XXIV-g,crop_068.jpg,-0.0,-0.0,1.0
69,34-XXIV-h,crop_069.jpg,-16.8,0.0,0.994
70,34-XXIV-i,crop_070.jpg,3.9,-0.0,1.008
71,34-XXIV-k,crop_071.jpg,-4.5,7.9,0.999
72,34-XXIV-l,crop_072.jpg,-16.8,-13.0,0.986
73,34-XXIV-m,crop_073.jpg,0.0,3.7,0.997
74,34-XXIV-n,crop_074.jpg,-16.9,-0.0,0.999
75,34-XXIV-o,crop_075.jpg,5.0,21.1,0.995
76,34-XXIV-p,crop_076.jpg,13.2,4.0,1.002
77,34-XXIV-q,crop_077.jpg,16.9,-4.8,0.981
78,34-XXV-a,crop_078.jpg,8.7,3.9,0.986
79,34-XXV-b,crop_079.jpg,0.0,-0.0,1.0
80,34-XXV-c,crop_080.jpg,4.2,5.2,0.999
81,34-XXV-d,crop_081.jpg,0.0,0.0,1.0
82,34-XXV-e,crop_082.jpg,-0.8,-8.0,0.999
83,34-XXV-f,crop_083.jpg,16.8,8.8,0.993
84,34-XXV-g,crop_084.jpg,3.7,17.9,0.979
85,34-XXV-h,crop_085.jpg,8.1,12.0,0.992
86,34-XXV-i,crop_086.jpg,11.2,-42.3,0.973
87,34-XXV-k,crop_087.jpg,4.5,-2.9,1.007
