sheet_id,kind,v2_resid_m,v3_resid_m
31-XXIV-q,single,1052.630859375,1012.9208374023438
31-XXV-dh,composite,748.9420166015625,759.80810546875
32-XXIV-c,single,1249.930419921875,1250.40087890625
32-XXIV-l,single,935.8453369140625,2460.15087890625
32-XXV-f,single,850.4848022460938,783.4147338867188
33-XXIII-i,single,798.2669677734375,766.608642578125
33-XXIII-m,single,1140.0240478515625,1211.9417724609375
33-XXIV-d,single,422.42822265625,519.5148315429688
33-XXIV-g,single,489.0287170410156,1637.02587890625
33-XXIV-h,single,551.7987060546875,701.6499633789062
33-XXV-ae,composite,355.82769775390625,807.9607543945312
33-XXV-f,single,487.777587890625,487.777587890625
33-XXV-g,single,999.3201293945312,722.4425048828125
33-XXV-m,single,884.0970458984375,859.2391357421875
33-XXV-q,single,1491.9454345703125,1492.88232421875
33-XXVI-d,single,911.457275390625,754.1796264648438
34-XXIII-ie,composite,1318.2525634765625,1318.2525634765625
34-XXIII-k,single,577.2821044921875,467.7666320800781
34-XXIII-l,single,722.912109375,1241.176025390625
34-XXIV-cd,composite,895.3536376953125,853.6109008789062
34-XXIV-h,single,335.3470458984375,340.9753723144531
34-XXV-n,single,1158.9422607421875,1121.264892578125
34-XXVI-a,single,896.369873046875,767.781005859375
34-XXVI-k,single,859.708984375,744.3302001953125
34-XXVII-b,single,765.4363403320312,680.3877563476562
34-XXVII-f,single,714.6256103515625,676.322509765625
34-XXVII-g,single,966.3314208984375,406.1688232421875
34-XXVII-m,single,570.011962890625,579.2359619140625
35-XXIV-i,single,295.636962890625,474.1764221191406
35-XXV-a,single,637.8635864257812,574.0772094726562
35-XXV-e,single,264.3694152832031,434.8570861816406
35-XXV-i,single,722.912109375,225.44081115722656
35-XXV-o,single,365.8331298828125,297.669677734375
35-XXVI-b,single,1310.902587890625,2164.513671875
35-XXVI-g,single,1036.527587890625,1118.7620849609375
35-XXVII-i,single,1157.3792724609375,1221.1656494140625
35-XXVII-ko,composite,1488.349853515625,1302.1483154296875
35-XXVII-p,single,701.6499633789062,616.6014404296875
35-XXVII-q,single,1084.3687744140625,1127.830322265625
35-XXVIII-d,single,1676.7359619140625,1728.484130859375
36-XXVI-k,single,1336.7005615234375,1403.30126953125
36-XXVI-l,single,1445.8255615234375,1722.233642578125
36-XXVI-m,single,689.61181640625,701.6499633789062
36-XXVI-q,single,1067.013671875,1057.7896728515625
36-XXVII-k,single,1066.622802734375,1088.27587890625
36-XXVIII-bf,composite,829.222900390625,916.6160888671875
37-XXVI-in,composite,297.669677734375,317.9154357910156
